English,Urdu,Russian,korean
come,آو,приходить,오다
 get, حاصل کریں, получать, 얻다
 give, دینا, давать, 주다
 go, جاؤ, идти, 가다
 keep, رکھنا, держать, 유지하다
 let, دو, позволять, 허락하다
 make, بنانا, делать, 만들다
 put, ڈال, помещать, 놓다
 seem, لگتا ہے, казаться, 인 것 같다
 take, لے لو, брать, 가져가다
 be, ہونا, быть, BE
 do, کرو, делать, 하다
 have, ہے, иметь, 가지다
 say, کہنا, сказать, 말하다
 see, دیکھیں, видеть, 보다
 send, بھیجیں, отправлять, 보내다
 may, ہو سکتا ہے, может, 5월
 will, مرضی, воля, 할 것이다
 about, کے بارے میں, о, 에 대한
 across, اس پار, через, 가로질러
 after, کے بعد, после, 후에
 against, کے خلاف, против, 에 맞서
 among, درمیان, среди, 중에
 at, پر, в, 에
 before, پہلے, до, 전에
 between, کے درمیان, между, 사이
 by, کی طرف سے, к, 에 의해
 down, نیچے, вниз, 아래에
 from, سے, от, 에서
 in, میں, в, 안에
 off, بند, выключенный, 끄다
 on, پر, на, 에
 over, ختم, над, 위에
 through, کے ذریعے, через, 을 통해
 to, کو, к, 에게
 under, کے تحت, под, 아래에
 up, اوپر, вверх, 위로
 with, کے ساتھ, с, 와 함께
 as, کے طور پر, как, 처럼
 for, کے لیے, для, 을 위한
 of, کی, из, 의
 till, تک,до,까지
 than, سے, чем, 보다
 a, a,а,아
 the, دی,то,그
 all, تمام, все, 모두
 any, کوئی بھی, любой, 어느
 every, ہر, каждый, 모든
 no, نہیں, нет, 아니요
 other, دوسرے, другой, 다른
 some, کچھ, некоторый, 일부
 such, اس طرح, такой, 그런
 that, کہ, что, 저것
 this, یہ, этот, 이것
 I, میں,Я, 나
 he, وہ, он, 그
 you, آپ, ты, 너
 who, ڈبلیو ایچ او, ВОЗ, WHO
 and, اور, и, 그리고
 because, کیونکہ, потому что, 왜냐하면
 but, لیکن, но, 하지만
 or, یا, или, 또는
 if, اگر, если, 만약에
 though, اگرچہ, хотя, 그렇지만
 while, جبکہ, пока, 하는 동안
 how, کس طرح, как, 어떻게
 when, جب, когда, 언제
 where, کہاں, где, 어디
 why, کیوں, почему, 왜
 again, دوبارہ, снова, 다시
 ever, کبھی, всегда, 항상
 far, دور, далеко, 멀리
 forward, آگے, вперед, 앞으로
 here, یہاں, здесь, 여기
 near, قریب, около, 가까운
 now, اب, сейчас, 지금
